_lerpT,_lerp1,_lerp2,_hoverPositionY
0.2539731,1.92,2.12,1.970795
0.2717253,1.92,2.12,1.974345
0.2902092,1.92,2.12,1.978042
0.3086865,1.92,2.12,1.981737
0.3277394,1.92,2.12,1.985548
0.3471782,1.92,2.12,1.989436
0.3765871,1.92,2.12,1.995317
0.3963491,1.92,2.12,1.99927
0.4161278,1.92,2.12,2.003226
0.4362291,1.92,2.12,2.007246
0.4561871,1.92,2.12,2.011237
0.4762214,1.92,2.12,2.015244
0.4965225,1.92,2.12,2.019305
0.5164757,1.92,2.12,2.023295
0.5370049,1.92,2.12,2.027401
0.5668837,1.92,2.12,2.033377
0.5867006,1.92,2.12,2.03734
0.6065009,1.92,2.12,2.0413
0.6262413,1.92,2.12,2.045248
0.6455847,1.92,2.12,2.049117
0.6649986,1.92,2.12,2.053
0.684034,1.92,2.12,2.056807
0.7026224,1.92,2.12,2.060524
0.7213516,1.92,2.12,2.06427
0.7483113,1.92,2.12,2.069662
0.7658136,1.92,2.12,2.073163
0.7831131,1.92,2.12,2.076622
0.7998445,1.92,2.12,2.079969
0.8161414,1.92,2.12,2.083228
0.8317387,1.92,2.12,2.086348
0.8470752,1.92,2.12,2.089415
0.8618081,1.92,2.12,2.092361
0.8760216,1.92,2.12,2.095204
0.8960031,1.92,2.12,2.0992
0.9085503,1.92,2.12,2.10171
0.9205902,1.92,2.12,2.104118
0.9315376,1.92,2.12,2.106308
0.9420807,1.92,2.12,2.108416
0.9517884,1.92,2.12,2.110358
0.9607328,1.92,2.12,2.112146
0.9687124,1.92,2.12,2.113742
0.9760163,1.92,2.12,2.115203
0.9850815,1.92,2.12,2.117016
0.9900275,1.92,2.12,2.118006
0.9939777,1.92,2.12,2.118795
0.9969853,1.92,2.12,2.119397
